lat,lon,depth,geometry
45.13672,12.332031,-1.7365271,POINT (45.13671875 12.33203125)
45.13672,12.339844,-5.3814454,POINT (45.13671875 12.33984375)
45.13672,12.347656,-9.064053,POINT (45.13671875 12.34765625)
45.13672,12.355469,-11.592912,POINT (45.13671875 12.35546875)
45.13672,12.363281,-13.67193,POINT (45.13671875 12.36328125)
45.13672,12.371094,-16.934784,POINT (45.13671875 12.37109375)
45.13672,12.378906,-19.09573,POINT (45.13671875 12.37890625)
45.13672,12.386719,-20.916868,POINT (45.13671875 12.38671875)
45.13672,12.394531,-22.243523,POINT (45.13671875 12.39453125)
45.13672,12.402344,-23.217907,POINT (45.13671875 12.40234375)
45.13672,12.410156,-23.615871,POINT (45.13671875 12.41015625)
45.13672,12.417969,-23.811386,POINT (45.13671875 12.41796875)
45.13672,12.425781,-23.506332,POINT (45.13671875 12.42578125)
45.13672,12.433594,-22.906528,POINT (45.13671875 12.43359375)
45.13672,12.441406,-22.11324,POINT (45.13671875 12.44140625)
45.13672,12.449219,-23.022064,POINT (45.13671875 12.44921875)
45.13672,12.457031,-24.346424,POINT (45.13671875 12.45703125)
45.13672,12.464844,-25.268757,POINT (45.13671875 12.46484375)
45.13672,12.472656,-26.065847,POINT (45.13671875 12.47265625)
45.13672,12.480469,-25.991259,POINT (45.13671875 12.48046875)
45.13672,12.488281,-25.954386,POINT (45.13671875 12.48828125)
45.13672,12.496094,-25.866962,POINT (45.13671875 12.49609375)
45.13672,12.503906,-25.715666,POINT (45.13671875 12.50390625)
45.13672,12.511719,-25.570631,POINT (45.13671875 12.51171875)
45.13672,12.519531,-25.51953,POINT (45.13671875 12.51953125)
45.13672,12.527344,-25.581394,POINT (45.13671875 12.52734375)
45.13672,12.535156,-25.719593,POINT (45.13671875 12.53515625)
45.13672,12.542969,-25.870132,POINT (45.13671875 12.54296875)
45.13672,12.550781,-25.924067,POINT (45.13671875 12.55078125)
45.13672,12.558594,-25.948458,POINT (45.13671875 12.55859375)
45.13672,12.566406,-26.101833,POINT (45.13671875 12.56640625)
45.13672,12.574219,-26.441017,POINT (45.13671875 12.57421875)
45.13672,12.582031,-26.775118,POINT (45.13671875 12.58203125)
45.13672,12.589844,-27.089575,POINT (45.13671875 12.58984375)
45.13672,12.597656,-27.409227,POINT (45.13671875 12.59765625)
45.13672,12.605469,-27.670393,POINT (45.13671875 12.60546875)
45.13672,12.613281,-27.795507,POINT (45.13671875 12.61328125)
45.13672,12.621094,-27.826118,POINT (45.13671875 12.62109375)
45.13672,12.628906,-27.891596,POINT (45.13671875 12.62890625)
45.13672,12.636719,-28.023594,POINT (45.13671875 12.63671875)
45.13672,12.644531,-28.171871,POINT (45.13671875 12.64453125)
45.13672,12.652344,-28.32172,POINT (45.13671875 12.65234375)
45.13672,12.660156,-28.47651,POINT (45.13671875 12.66015625)
45.13672,12.667969,-28.61521,POINT (45.13671875 12.66796875)
45.13672,12.675781,-28.738115,POINT (45.13671875 12.67578125)
45.13672,12.683594,-28.838802,POINT (45.13671875 12.68359375)
45.13672,12.691406,-28.91462,POINT (45.13671875 12.69140625)
45.14453,12.222656,0.0,POINT (45.14453125 12.22265625)
45.14453,12.230469,0.0,POINT (45.14453125 12.23046875)
45.14453,12.238281,0.0,POINT (45.14453125 12.23828125)
45.14453,12.246094,0.0,POINT (45.14453125 12.24609375)
45.14453,12.253906,0.0,POINT (45.14453125 12.25390625)
45.14453,12.261719,0.0,POINT (45.14453125 12.26171875)
45.14453,12.269531,0.0,POINT (45.14453125 12.26953125)
45.14453,12.277344,0.0,POINT (45.14453125 12.27734375)
45.14453,12.285156,0.0,POINT (45.14453125 12.28515625)
45.14453,12.292969,0.0,POINT (45.14453125 12.29296875)
45.14453,12.300781,0.0,POINT (45.14453125 12.30078125)
45.14453,12.308594,0.0,POINT (45.14453125 12.30859375)
45.14453,12.316406,0.0,POINT (45.14453125 12.31640625)
45.14453,12.324219,0.0,POINT (45.14453125 12.32421875)
45.14453,12.332031,-0.54694027,POINT (45.14453125 12.33203125)
45.14453,12.339844,-3.479352,POINT (45.14453125 12.33984375)
45.14453,12.347656,-7.469458,POINT (45.14453125 12.34765625)
45.14453,12.355469,-11.211823,POINT (45.14453125 12.35546875)
45.14453,12.363281,-14.472228,POINT (45.14453125 12.36328125)
