lat,lon,depth,geometry
45.128906,12.292013,0.0,POINT (45.12890625 12.292013168334961)
45.128906,12.299826,0.0,POINT (45.12890625 12.299825668334961)
45.128906,12.307638,0.0,POINT (45.12890625 12.307638168334961)
45.128906,12.315451,0.0,POINT (45.12890625 12.315450668334961)
45.128906,12.323263,0.0,POINT (45.12890625 12.323263168334961)
45.128906,12.331076,-2.3266056,POINT (45.12890625 12.331075668334961)
45.128906,12.338888,-6.18283,POINT (45.12890625 12.338888168334961)
45.128906,12.346701,-10.379236,POINT (45.12890625 12.346700668334961)
45.128906,12.354513,-11.987737,POINT (45.12890625 12.354513168334961)
45.128906,12.362326,-13.044399,POINT (45.12890625 12.362325668334961)
45.128906,12.370138,-14.665008,POINT (45.12890625 12.370138168334961)
