lat,lon,depth,geometry
45.1667,12.2333,-0.0,POINT (45.16669845581055 12.23330020904541)
45.1667,12.2375,-0.0,POINT (45.16669845581055 12.237500190734863)
45.1667,12.2417,-0.0,POINT (45.16669845581055 12.241700172424316)
45.1667,12.2458,-0.0,POINT (45.16669845581055 12.245800018310547)
45.1667,12.25,-0.0,POINT (45.16669845581055 12.25)
45.1667,12.2542,-0.0,POINT (45.16669845581055 12.254199981689453)
45.1667,12.2583,-0.0,POINT (45.16669845581055 12.258299827575684)
45.1667,12.2625,-0.0,POINT (45.16669845581055 12.262499809265137)
45.1667,12.2667,-0.0,POINT (45.16669845581055 12.26669979095459)
45.1667,12.2708,-0.0,POINT (45.16669845581055 12.27079963684082)
45.1667,12.275,-0.0,POINT (45.16669845581055 12.274999618530273)
45.1667,12.2792,-0.0,POINT (45.16669845581055 12.279199600219727)
45.1667,12.2833,-0.0,POINT (45.16669845581055 12.283300399780273)
45.1667,12.2875,-0.0,POINT (45.16669845581055 12.287500381469727)
45.1667,12.2917,-0.0,POINT (45.16669845581055 12.29170036315918)
45.1667,12.2958,-0.0,POINT (45.16669845581055 12.29580020904541)
45.1667,12.3,-0.0,POINT (45.16669845581055 12.300000190734863)
45.1667,12.3042,-0.0,POINT (45.16669845581055 12.304200172424316)
45.1667,12.3083,-0.0,POINT (45.16669845581055 12.308300018310547)
45.1667,12.3125,-0.0,POINT (45.16669845581055 12.3125)
45.1667,12.3167,-0.0,POINT (45.16669845581055 12.316699981689453)
45.1667,12.3208,-0.0,POINT (45.16669845581055 12.320799827575684)
45.1667,12.325,-0.0,POINT (45.16669845581055 12.324999809265137)
45.1667,12.3292,-0.0,POINT (45.16669845581055 12.32919979095459)
45.1667,12.3333,-0.4084,POINT (45.16669845581055 12.33329963684082)
45.1667,12.3375,-1.4598,POINT (45.16669845581055 12.337499618530273)
45.1667,12.3417,-2.8268,POINT (45.16669845581055 12.341699600219727)
45.1667,12.3458,-6.621,POINT (45.16669845581055 12.345800399780273)
45.1667,12.35,-9.9826,POINT (45.16669845581055 12.350000381469727)
45.1667,12.3542,-12.7004,POINT (45.16669845581055 12.35420036315918)
45.1667,12.3583,-14.8164,POINT (45.16669845581055 12.35830020904541)
45.1667,12.3625,-15.8072,POINT (45.16669845581055 12.362500190734863)
45.1667,12.3667,-17.2825,POINT (45.16669845581055 12.366700172424316)
45.1667,12.3708,-18.3947,POINT (45.16669845581055 12.370800018310547)
45.1667,12.375,-19.473,POINT (45.16669845581055 12.375)
45.1667,12.3792,-20.2983,POINT (45.16669845581055 12.379199981689453)
45.1667,12.3833,-20.7864,POINT (45.16669845581055 12.383299827575684)
45.1667,12.3875,-21.1369,POINT (45.16669845581055 12.387499809265137)
45.1667,12.3917,-21.4465,POINT (45.16669845581055 12.39169979095459)
45.1667,12.3958,-21.7605,POINT (45.16669845581055 12.39579963684082)
45.1667,12.4,-22.12,POINT (45.16669845581055 12.399999618530273)
45.1667,12.4042,-22.5605,POINT (45.16669845581055 12.404199600219727)
45.1667,12.4083,-22.9932,POINT (45.16669845581055 12.408300399780273)
45.1667,12.4125,-23.4023,POINT (45.16669845581055 12.412500381469727)
45.1667,12.4167,-23.8358,POINT (45.16669845581055 12.41670036315918)
45.1667,12.4208,-24.2351,POINT (45.16669845581055 12.42080020904541)
45.1667,12.425,-24.5239,POINT (45.16669845581055 12.425000190734863)
45.1667,12.4292,-24.7107,POINT (45.16669845581055 12.429200172424316)
45.1667,12.4333,-24.8189,POINT (45.16669845581055 12.433300018310547)
45.1667,12.4375,-24.8643,POINT (45.16669845581055 12.4375)
45.1667,12.4417,-24.8477,POINT (45.16669845581055 12.441699981689453)
45.1667,12.4458,-24.7641,POINT (45.16669845581055 12.445799827575684)
45.1667,12.45,-24.6169,POINT (45.16669845581055 12.449999809265137)
45.1667,12.4542,-24.4182,POINT (45.16669845581055 12.45419979095459)
45.1667,12.4583,-24.1765,POINT (45.16669845581055 12.45829963684082)
45.1667,12.4625,-23.8253,POINT (45.16669845581055 12.462499618530273)
45.1667,12.4667,-23.5366,POINT (45.16669845581055 12.466699600219727)
45.1667,12.4708,-23.5039,POINT (45.16669845581055 12.470800399780273)
45.1667,12.475,-23.6778,POINT (45.16669845581055 12.475000381469727)
45.1667,12.4792,-23.9586,POINT (45.16669845581055 12.47920036315918)
45.1667,12.4833,-24.3996,POINT (45.16669845581055 12.48330020904541)
45.1667,12.4875,-24.8377,POINT (45.16669845581055 12.487500190734863)
45.1667,12.4917,-24.982,POINT (45.16669845581055 12.491700172424316)
45.1667,12.4958,-25.0421,POINT (45.16669845581055 12.495800018310547)
45.1667,12.5,-25.2821,POINT (45.16669845581055 12.5)
45.1667,12.5042,-25.3768,POINT (45.16669845581055 12.504199981689453)
45.1667,12.5083,-25.3834,POINT (45.16669845581055 12.508299827575684)
45.1667,12.5125,-25.3201,POINT (45.16669845581055 12.512499809265137)
