lat,lon,depth
45.160156,12.269531,0.0
45.160156,12.277344,0.0
45.160156,12.285156,0.0
45.160156,12.292969,0.0
45.160156,12.300781,0.0
45.160156,12.308594,0.0
45.160156,12.316406,0.0
45.160156,12.324219,0.0
45.160156,12.332031,0.0
45.160156,12.339844,-1.2002392
45.160156,12.347656,-6.3816543
45.160156,12.355469,-11.994891
45.160156,12.363281,-15.602405
45.160156,12.371094,-18.427893
45.160156,12.378906,-20.307322
45.160156,12.386719,-21.194794
45.160156,12.394531,-21.852978
45.160156,12.402344,-22.734903
45.160156,12.410156,-23.548513
45.160156,12.417969,-24.203638
45.160156,12.425781,-24.654163
45.160156,12.433594,-24.836573
45.160156,12.441406,-24.708826
45.160156,12.449219,-24.100004
45.160156,12.457031,-23.25281
45.160156,12.464844,-22.862543
45.160156,12.472656,-23.52943
45.160156,12.480469,-24.359146
45.160156,12.488281,-25.03258
45.160156,12.496094,-25.701223
45.160156,12.503906,-25.27035
45.160156,12.511719,-24.9001
45.160156,12.519531,-24.859114
45.160156,12.527344,-24.894001
45.160156,12.535156,-24.881044
45.160156,12.542969,-24.885126
45.160156,12.550781,-24.912493
45.160156,12.558594,-24.89647
45.160156,12.566406,-24.917538
45.160156,12.574219,-24.966894
45.160156,12.582031,-25.021662
45.160156,12.589844,-25.03617
45.160156,12.597656,-25.058952
45.160156,12.605469,-25.219158
45.160156,12.613281,-25.544754
45.160156,12.621094,-25.913
45.160156,12.628906,-26.38066
45.160156,12.636719,-26.860222
45.160156,12.644531,-27.185577
45.160156,12.652344,-27.4594
45.160156,12.660156,-27.632643
45.160156,12.667969,-27.748095
45.160156,12.675781,-27.858374
45.160156,12.683594,-27.967762
45.160156,12.691406,-28.04874
45.16797,12.222656,0.0
45.16797,12.230469,0.0
45.16797,12.238281,0.0
45.16797,12.246094,0.0
45.16797,12.253906,0.0
45.16797,12.261719,0.0
45.16797,12.269531,0.0
45.16797,12.277344,0.0
45.16797,12.285156,0.0
45.16797,12.292969,0.0
45.16797,12.300781,0.0
45.16797,12.308594,0.0
45.16797,12.316406,0.0
45.16797,12.324219,0.0
45.16797,12.332031,-0.877352
45.16797,12.339844,-3.2119267
45.16797,12.347656,-8.922537
45.16797,12.355469,-13.619559
