lat,lon,depth
45.1667,12.4458,-24.7641
45.1667,12.45,-24.6169
45.1667,12.4542,-24.4182
45.1667,12.4583,-24.1765
45.1667,12.4625,-23.8253
45.1667,12.4667,-23.5366
45.1667,12.4708,-23.5039
45.1667,12.475,-23.6778
45.1667,12.4792,-23.9586
45.1667,12.4833,-24.3996
45.1667,12.4875,-24.8377
45.1667,12.4917,-24.982
45.1667,12.4958,-25.0421
45.1667,12.5,-25.2821
45.1667,12.5042,-25.3768
45.1667,12.5083,-25.3834
45.1667,12.5125,-25.3201
45.1667,12.5167,-25.2273
45.1667,12.5208,-25.1877
45.1667,12.525,-25.133
45.1667,12.5292,-25.0424
45.1667,12.5333,-24.9449
45.1667,12.5375,-24.8576
45.1667,12.5417,-24.7842
45.1667,12.5458,-24.7362
45.1667,12.55,-24.7056
45.1667,12.5542,-24.686
45.1667,12.5583,-24.6776
45.1667,12.5625,-24.6826
45.1667,12.5667,-24.7003
45.1667,12.5708,-24.7291
45.1667,12.575,-24.7671
45.1667,12.5792,-24.8067
45.1708,12.1208,-0.0
45.1708,12.125,-0.0
45.1708,12.1292,-0.0
45.1708,12.1333,-0.0
45.1708,12.1375,-0.0
45.1708,12.1417,-0.0
45.1708,12.1458,-0.0
45.1708,12.15,-0.0
45.1708,12.1542,-0.0
45.1708,12.1583,-0.0
45.1708,12.1625,-0.0
45.1708,12.1667,-0.0
45.1708,12.1708,-0.0
45.1708,12.175,-0.0
45.1708,12.1792,-0.0
45.1708,12.1833,-0.0
45.1708,12.1875,-0.0
45.1708,12.1917,-0.0
45.1708,12.1958,-0.0
45.1708,12.2,-0.0
45.1708,12.2042,-0.0
45.1708,12.2083,-0.0
45.1708,12.2125,-0.0
45.1708,12.2167,-0.0
45.1708,12.2208,-0.0
45.1708,12.225,-0.0
45.1708,12.2292,-0.0
45.1708,12.2333,-0.0
45.1708,12.2375,-0.0
45.1708,12.2417,-0.0
45.1708,12.2458,-0.0
45.1708,12.25,-0.0
45.1708,12.2542,-0.0
45.1708,12.2583,-0.0
45.1708,12.2625,-0.0
45.1708,12.2667,-0.0
45.1708,12.2708,-0.0
45.1708,12.275,-0.0
45.1708,12.2792,-0.0
45.1708,12.2833,-0.0
45.1708,12.2875,-0.0
45.1708,12.2917,-0.0
45.1708,12.2958,-0.0
45.1708,12.3,-0.0
45.1708,12.3042,-0.0
45.1708,12.3083,-0.0
45.1708,12.3125,-0.0
45.1708,12.3167,-0.0
45.1708,12.3208,-0.0
45.1708,12.325,-0.0
45.1708,12.3292,-1.3109
45.1708,12.3333,-2.6069
45.1708,12.3375,-4.1839
45.1708,12.3417,-6.3982
45.1708,12.3458,-9.7206
45.1708,12.35,-12.0341
45.1708,12.3542,-13.7813
45.1708,12.3583,-15.165
45.1708,12.3625,-15.9999
45.1708,12.3667,-17.3484
45.1708,12.3708,-18.3139
45.1708,12.375,-19.3834
45.1708,12.3792,-20.2286
45.1708,12.3833,-20.7059
45.1708,12.3875,-21.0397
45.1708,12.3917,-21.3373
45.1708,12.3958,-21.6187
45.1708,12.4,-21.9146
45.1708,12.4042,-22.3096
45.1708,12.4083,-22.6947
45.1708,12.4125,-23.072
45.1708,12.4167,-23.5172
45.1708,12.4208,-24.0586
45.1708,12.425,-24.4175
45.1708,12.4292,-24.6336
45.1708,12.4333,-24.7618
45.1708,12.4375,-24.8379
45.1708,12.4417,-24.8683
45.1708,12.4458,-24.8492
45.1708,12.45,-24.7842
45.1708,12.4542,-24.6796
45.1708,12.4583,-24.5266
45.1708,12.4625,-24.2876
45.1708,12.4667,-24.0304
45.1708,12.4708,-23.8272
45.1708,12.475,-23.7891
45.1708,12.4792,-23.9483
